"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"97","2","B","B1","no tag",2023,"Reprodutivo",7.5,9,15.4,5,5,5,5,5,"Jovem",NA,NA,5,5,1,1,97
"98","2","B","B1","no tag",2023,"Reprodutivo",7.5,9,15.4,5,5,5,5,5,"Jovem",NA,NA,5,5,1,1,98
"99","2","B","B1","no tag",2023,"Reprodutivo",7.5,9,15.4,5,5,5,5,5,"Jovem",NA,NA,5,5,1,1,99
"100","2","B","B1","no tag",2023,"Reprodutivo",0.5,4.5,13.6,7.6,7,NA,NA,NA,"Morreu",NA,NA,7.3,NA,1,0,100
"101","2","B","B2","no tag",2022,"Reprodutivo",6.5,5.5,21.2,25.11,29.4,21,35,31,"Reprodutivo","Recebeu tag em 2024 (#2893)
Altura não informada. Repeti a do ano anterior (2023)","adulto no tag, ano passado",27.255,33,1,1,101
"102","2","B","B3","no tag",2023,"Reprodutivo",3,9.5,8.1,5.5,5,NA,NA,NA,"Morreu",NA,NA,5.25,NA,1,0,102
"103","2","B","B4","no tag",2023,"Jovem",4.5,1,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,103
"104","2","B","B4","no tag",2023,"Reprodutivo",8,2,18,23,7.4,NA,NA,NA,"Morreu",NA,NA,15.2,NA,1,0,104
"105","2","B","C2","no tag",2023,"Jovem",8,5,11,5.5,5.5,NA,NA,NA,"Morreu",NA,NA,5.5,NA,0,0,105
"106","2","B","C2","no tag",2023,"Jovem",9,5,13.1,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,106
"107","2","B","C2","no tag",2023,"Jovem",9,5,13.1,5,5.3,NA,NA,NA,"Morreu",NA,NA,5.15,NA,0,0,107
"108","2","B","C2","no tag",2023,"Reprodutivo",7.5,6.5,12.6,5.8,5.3,NA,NA,NA,"Morreu",NA,NA,5.55,NA,1,0,108
"109","2","B","C2","no tag",2023,"Reprodutivo",7.5,6.5,12.3,5.8,5.3,NA,NA,NA,"Morreu",NA,NA,5.55,NA,1,0,109
"110","2","C","B4","no tag",2023,"Reprodutivo",4.5,7.1,7.1,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,110
"111","2","C","C1","no tag",2023,"Jovem",4,0.5,15.5,9.2,9.7,20,9,9,"Jovem",NA,NA,9.45,9,0,1,111
"112","2","C","C2","2039",2022,"Reprodutivo",6.5,3,22.3,23.8,20.3,NA,NA,NA,"Morreu",NA,NA,22.05,NA,1,0,112
"113","2","C","C2","2037",2022,"Reprodutivo",5,7,30.2,41.4,38.4,37,51,45,"Reprodutivo",NA,NA,39.9,48,1,1,113
"114","2","C","C2","no tag",2023,"Jovem",2,9,11.2,5.2,5,NA,NA,NA,"Morreu",NA,NA,5.1,NA,0,0,114
"115","2","C","C3","no tag",2023,"Jovem",4,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,115
"116","2","C","C3","no tag",2023,"Jovem",4.5,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,116
"117","2","C","C3","no tag",2023,"Jovem",4.5,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,117
"118","2","C","C3","no tag",2023,"Jovem",5,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,118
"119","2","C","C3","no tag",2023,"Reprodutivo",2,1,14.2,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,119
"120","2","C","C3","2038",2022,"Reprodutivo",7,10,38.8,39.6,34.1,NA,NA,NA,"Morreu",NA,NA,36.85,NA,1,0,120
"121","2","C","C3","no tag",2023,"Jovem",1.5,8.5,12.4,5,5,14,5,5,"Jovem",NA,NA,5,5,0,1,121
"122","2","C","C3","no tag",2023,"Jovem",4,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,122
"123","2","C","C3","no tag",2023,"Jovem",4.5,8.5,21.4,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,123
"124","2","C","C3","no tag",2023,"Jovem",4.5,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,124
"125","2","C","C3","no tag",2023,"Jovem",5,8.5,11.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,125
"126","2","C","C5","no tag",2023,"Jovem",3.5,3.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,126
"127","2","C","D1","no tag",2023,"Jovem",5,9,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,127
"128","2","C","D1","no tag",2023,"Jovem",5.5,9,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,128
"129","2","C","D1","no tag",2023,"Jovem",8,3,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,129
"130","2","C","D1","no tag",2023,"Jovem",8.5,3.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,130
"131","2","C","D1","no tag",2023,"Jovem",6,5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,131
"132","2","C","D1","no tag",2023,"Jovem",7.5,6,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,132
"133","2","D","A2","no tag",2023,"Reprodutivo",4,6.5,22.8,11.8,15.2,25,12,22,"Reprodutivo",NA,NA,13.5,17,1,1,133
"134","2","D","A2","no tag",2023,"Jovem",7.5,3,8.9,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,134
