Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24
2;D;50;50;B5;0;10;no tag;2024;new;7;1;7;11;57;61;;;;5;5;5;Jovem
2;D;50;50;B5;0;10;no tag;2024;new;7;1;7;11;57;61;;;;5;5;5;Jovem
2;D;50;50;B5;0;10;no tag;2024;new;7;1;7;11;57;61;;;;5;5;5;Jovem
2;D;50;50;C5;0;20;no tag;2024;new;3;2.5;3;22.5;53;72.5;;;;9;5;5;Reprodutivo
2;D;50;50;C5;0;20;no tag;2024;new;2.5;4.5;2.5;24.5;52.5;74.5;;;;5;5;5;Reprodutivo
2;D;50;50;C5;0;20;no tag;2024;new;5;5;5;25;55;75;;;;5;5;5;Jovem
2;D;50;50;C2;30;20;no tag;2024;new;0.5;8;30.5;28;80.5;78;;;;5;5;5;Jovem
2;D;50;50;D1;40;30;no tag;2024;new;4.5;7;44.5;37;94.5;87;;;;5;5;5;Jovem
2;D;50;50;D3;20;30;no tag;2024;new;2;7.5;22;37.5;72;87.5;;;;5;5;5;Jovem
2;D;50;50;E3;20;40;no tag;2024;new;5.5;5;25.5;45;75.5;95;;;;5;5;5;Jovem
2;D;50;50;E4;10;40;no tag;2024;new;7.5;5;17.5;45;67.5;95;;;;5;5;5;Jovem
3;A;;;A5;40;0;no tag;2024;new;4.5;7.5;44.5;7.5;44.5;7.5;;;;15;5;5;Jovem
3;A;;;B4;30;10;no tag;2024;new;6;6;36;16;36;16;;;;7;5;5;Jovem
3;A;;;C4;20;10;no tag;2024;new;3.5;0.5;23.5;10.5;23.5;10.5;;;;5;5;5;Jovem
3;A;;;C5;20;0;no tag;2024;new;2.5;2.5;22.5;2.5;22.5;2.5;;;;5;5;5;Jovem
3;C;;;A2;0;10;no tag;2024;new;5.5;9.5;5.5;19.5;5.5;19.5;;;;5;5;5;Jovem
3;D;;;B1;40;10;no tag;2024;new;7.7;4;47.7;14;47.7;14;;;;15;5;5;Jovem
3;D;;;B5;0;10;no tag;2024;new;10;5;10;15;10;15;;;;5;5;5;Jovem
3;D;;;C1;40;20;no tag;2024;new;8;5.5;48;25.5;48;25.5;;;;5;5;5;Jovem
3;D;;;C4;10;20;no tag;2024;new;7.5;5.5;17.5;25.5;17.5;25.5;;;;15;5;5;Jovem
3;D;;;C4;10;20;no tag;2024;new;2;5;12;25;12;25;;;;23;5;5;Jovem
3;D;;;C5;0;20;no tag;2024;new;2;7;2;27;2;27;;;;5;5;5;Jovem
3;D;;;D2;30;30;no tag;2024;new;5;10;35;40;35;40;;;;17;5;5;Jovem
3;D;;;D4;10;30;no tag;2024;new;8;5;18;35;18;35;;;;5;5;5;Jovem
3;D;;;D4;10;30;no tag;2024;new;8;5.5;18;35.5;18;35.5;;;;5;5;5;Jovem
3;D;;;D4;10;30;no tag;2024;new;10;5;20;35;20;35;;;;5;5;5;Jovem
3;D;;;E5;0;40;no tag;2024;new;2.5;5;2.5;45;2.5;45;;;;7;5;5;Jovem
3;D;;;E5;0;40;no tag;2024;new;5;5.5;5;45.5;5;45.5;;;;5;5;5;Jovem
3;D;;;E5;0;40;no tag;2024;new;5;5.5;5;45.5;5;45.5;;;;5;5;5;Jovem
3;D;;;E5;0;40;no tag;2024;new;5;4.5;5;44.5;5;44.5;;;;5;5;5;Jovem
4;A;0;0;B1;30;40;No tag;2024;new;9;2;39;42;39;42;;;;5;5;5;Jovem
4;A;0;0;C1;20;40;No tag;2024;new;1;1;21;41;21;41;;;;5;5;5;Jovem
4;A;0;0;C1;20;40;No tag;2024;new;9;6;29;46;29;46;;;;10;12;13;Jovem
4;B;50;0;A2;10;40;No tag;2024;new;2.5;7;12.5;47;62.5;47;;;;5;5;5;Jovem
4;B;50;0;D4;30;10;No tag;2024;new;0.5;2.5;30.5;12.5;80.5;12.5;;;;5;5;5;Jovem
4;C;0;50;A2;0;10;No tag;2024;new;0;0.5;0;10.5;0;60.5;;;;5;5;5;Jovem
4;C;0;50;A4;0;30;No tag;2024;new;4;6;4;36;4;86;;;;5;5;5;Jovem
4;C;0;50;A4;0;30;No tag;2024;new;4.5;6;4.5;36;4.5;86;;;;5;5;5;Jovem
4;C;0;50;A4;0;30;No tag;2024;new;8;3.5;8;33.5;8;83.5;;;;5;5;5;Jovem
