Plot;stage;stage 2;;fate;fate2
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
5;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;3;Reprodutiva
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;3;Reprodutiva
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
6;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;3;Reprodutiva
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
7;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
8;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;3;Reprodutiva
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
9;1;seed;;2;Jovem
10;1;seed;;2;Jovem
10;1;seed;;2;Jovem
10;1;seed;;2;Jovem
10;1;seed;;2;Jovem
10;1;seed;;2;Jovem
10;1;seed;;2;Jovem
10;1;seed;;2;Jovem
