Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;diam;
2;C;0;50;E2;40;10;no tag;2022;reprodutivo_23;8;4;48;14;48;64;23.1;29;27.6;2513.256;
2;D;50;50;A2;30;0;no tag;2022;immaturo_23 ;7.5;3;37.5;3;87.5;53;8.9;5;5;78.5;
2;D;50;50;A2;30;0;no tag;2022;immaturo_23 ;7.5;3;37.5;3;87.5;53;8.9;5;5;78.5;
2;D;50;50;A2;30;0;no tag;2022;immaturo_23 ;7.5;3;37.5;3;87.5;53;8.9;8;6.6;165.792;
2;D;50;50;A3;20;0;no tag;2022;immaturo_23 ;5.5;2;25.5;2;75.5;52;5;5;5;78.5;
2;D;50;50;A3;20;0;no tag;2022;reprodutivo_23;6;2;26;2;76;52;5;5;5;78.5;
2;D;50;50;A3;20;0;no tag;2022;reprodutivo_23;6;1.5;26;1.5;76;51.5;5;5;5;78.5;
2;D;50;50;A3;20;0;no tag;2022;reprodutivo_23;5;6;25;6;75;56;5;5;5;78.5;
2;D;50;50;A5;0;0;no tag;2022;reprodutivo_23;1;3;1;3;51;53;8.1;5;5;78.5;
2;D;50;50;B2;30;10;no tag;2022;reprodutivo_23;6.5;7.5;36.5;17.5;86.5;67.5;34;19.1;12.3;737.6802;
2;D;50;50;B5;0;10;no tag;2022;reprodutivo_23;2;0.5;2;10.5;52;60.5;8.6;5.5;5.5;94.985;
2;D;50;50;B5;0;10;no tag;2022;reprodutivo_23;3;0.5;3;10.5;53;60.5;8.7;5.7;5.9;105.5982;
2;D;50;50;B5;0;10;no tag;2022;reprodutivo_23;3.5;0.5;3.5;10.5;53.5;60.5;12.3;5.5;5.5;94.985;
2;D;50;50;B5;0;10;no tag;2022;reprodutivo_23;8;2;8;12;58;62;8.6;5.5;5.5;94.985;
2;D;50;50;B5;0;10;no tag;2022;reprodutivo_23;8.5;5;8.5;15;58.5;65;11.7;5;5;78.5;
2;D;50;50;D1;40;30;no tag;2022;immaturo_23 ;6;2;46;32;96;82;19.4;5.9;6;111.156;
2;D;50;50;D1;40;30;no tag;2022;immaturo_23 ;7;4;47;34;97;84;5;5;5;78.5;
2;D;50;50;D4;10;30;2044;2022;immaturo_23 ;1;4.5;11;34.5;61;84.5;22.3;22.1;22.1;1533.6074;
2;D;50;50;E3;20;40;no tag;2022;reprodutivo_23;0.5;4;20.5;44;70.5;94;22.5;34.9;39.3;4306.7298;
2;D;50;50;E4;10;40;no tag;2022;immaturo_23 ;2;8;12;48;62;98;8.4;5;5;78.5;
2;D;50;50;E4;10;40;no tag;2022;immaturo_23 ;2;8;12;48;62;98;8.4;5;5;78.5;
